cpg_id	cluster_name	chr	start	end	sperm_age_weight_per_year	young_beta_mean	middle_beta_mean	old_beta_mean	old_minus_young_beta	aligned_with_sperm_age_direction	escape_contribution	absolute_delta
cg27312626	cluster_4920	chr21	39627271	39628679	0.0054574154	0.6817822723476399	0.6871166002572143	0.7094661598675989	0.027683887519958983	True	0.00015108247408329197	0.027683887519958983
cg02805028	cluster_2910	chr16	27899239	27899404	0.0082746688	0.4295380275032306	0.4210819716933981	0.44662867464183914	0.017090647138608528	True	0.00014141944464965325	0.017090647138608528
cg26265390	cluster_6651	chr6	168867541	168867685	0.0056395934	0.735780533113179	0.7607934751325648	0.7602045897994096	0.0244240566862306	True	0.00013774174888889196	0.0244240566862306
cg05475172	cluster_5064	chr22	46370644	46371152	-0.0049965402	0.6928699649767	0.6791303548266524	0.6661089930464769	-0.026760971930223088	True	0.00013371227204043125	0.026760971930223088
cg01682917	cluster_2324	chr13	114865944	114866221	-0.0140194841999999	0.605460865233765	0.5845794827937172	0.5960835777156123	-0.0093772875181527	True	0.00013146473419959806	0.0093772875181527
cg03442467	cluster_315	chr1	66797701	66798063	0.0089054872	0.22639210325371825	0.21961671407881447	0.24108514364909328	0.014693040395375029	True	0.00013084868317009526	0.014693040395375029
cg17670366	cluster_5977	chr5	147040667	147040773	0.0121587616	0.7593840930345418	0.7644749108704949	0.7701148883284504	0.010730795293908635	True	0.00013047318175703703	0.010730795293908635
cg06310157	cluster_7095	chr7	140218068	140218338	-0.0129405938	0.7987004311903784	0.8040016778391952	0.7886261157534558	-0.01007431543692261	True	0.00013036762388228502	0.01007431543692261
cg18148488	cluster_4420	chr2	88366775	88367503	0.0074476766	0.8089286163564428	0.823793901342361	0.8263346019182624	0.017405985561819604	True	0.0001296341513687017	0.017405985561819604
cg20252837	cluster_4889	chr20	62574023	62574518	-0.0038428794	0.360983141529838	0.3584704667347111	0.32725898426471944	-0.03372415726511857	True	0.0001295978692364845	0.03372415726511857
cg02192965	cluster_4364	chr2	44502740	44502977	0.0100821874	0.4863602921419634	0.5154729875786355	0.49904931857434703	0.012689026432383621	True	0.00012793314241484508	0.012689026432383621
cg01310473	cluster_6960	chr7	76828885	76829845	0.0125826148	0.6485200311762153	0.6499432443301896	0.6585853815393269	0.010065350363111625	True	0.0001266484264460737	0.010065350363111625
cg01325409	cluster_2637	chr15	48413040	48413344	0.0080268364	0.5977485165961411	0.5902406062866625	0.6134543452137848	0.01570582861764369	True	0.00012606811684026404	0.01570582861764369
