cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank	overlap_public_chromatin	public_accessibility_morula_max	public_accessibility_morula_minus_8cell
cluster_2743	-0.11797099778706845	-0.12028835364704367	0.06473279809148813	0.11797099778706845	-1.0	0.20746012458699886	0.16094184095064926	-0.12737073769769494	0.06898510591485815	-0.002335038870491597	0.1112586279215452	-0.2133394471979748	0.0141905371019055	0.0141905371019055	M07	7	age_DMR	age_DMR	cluster_2743	chr15	96894342	96894509	168	2	-0.030119887	11	True	1.690836355	-0.012793271999999911
cluster_6960	-0.11508728696770935	-0.3775473110042004	-0.02941256553900934	0.11508728696770935	-1.0	0.1791530463718871	0.15440721006063604	-0.12219917539837748	-0.01491872079129866	0.0005049755665909693	0.08961952508002605	-0.17184626752902224	0.04345089572542743	0.04345089572542743	M01	1	age_DMR	age_DMR	cluster_6960	chr7	76828885	76829845	961	3	0.062913074	12	True	2.3353778999999997	1.1965824529999995
cluster_1742	0.1109335240179164	-0.13317505724734113	-0.13272908218620982	0.1109335240179164	1.0	0.19564442302586016	-0.13460382343794372	0.10652660729460862	-0.009365218629566852	0.00031699812938868946	-0.14167160497795245	0.2716566117547216	-0.01477357841173531	0.01477357841173531	M08	8	age_DMR	age_DMR	cluster_1742	chr12	11151430	11151622	193	4	0.010894563999999999	13	True	1.9626992090000002	0.9114004920000001
cluster_6655	-0.10061235696372343	0.015422882905597847	-0.07063840239356317	0.10061235696372343	-1.0	0.17729667208019878	0.15612277918244954	-0.12355689134922072	0.015085343582707788	-0.0005106154897235122	0.0826572450548244	-0.15849603124117756	-0.0015517326003077186	0.0015517326003077186	M01	1	age_DMR	age_DMR	cluster_6655	chr6	168963358	168963731	374	3	0.11602645800000001	14	True	1.6336397880000002	-0.17489198799999972
cluster_4404	-0.09722469353806078	-0.15963651142287255	-0.07162972197882866	0.09722469353806078	-1.0	0.1810374585136711	0.1583179032370319	-0.12529413114043106	-0.05146519023761429	0.0017420168902892257	0.07114307481073019	-0.1364175033938757	0.015520610900573922	0.015520610900573922	M01	1	age_DMR	age_DMR	cluster_4404	chr2	74607470	74607600	131	4	-0.034161596	15	True	0.939345698	-0.8127321739999999
cluster_543	0.0903190284088766	-0.2616224767233678	-0.4661553010544099	0.0903190284088766	1.0	0.12396437383998557	-0.05368726303647403	0.04248855522923172	0.05630922090628725	-0.0019059798175211536	-0.09650966485341814	0.1850581742173627	-0.023629487907578517	0.023629487907578517	M08	8	age_DMR	age_DMR	cluster_543	chr1	198828060	198828249	190	5	0.018045133	16	True	2.204821917	0.01676818599999974
cluster_4026	0.08347397901705353	0.3758244911517803	0.2508421755148864	0.08347397901705353	1.0	0.15665556960227764	0.04393505435859276	-0.03477057458388488	-0.09436263504711956	0.0031940288825385355	-0.11707421403915412	0.2244908873212324	0.03137156568849852	0.03137156568849852	M03	3	age_DMR	age_DMR	cluster_4026	chr19	39806522	39806765	244	2	-0.028841341	17	True	1.9761779519999998	0.21103226499999983
cluster_4904	0.07951997997463606	-0.2204698686929519	-0.2795301313070481	0.07951997997463606	1.0	0.14802148200709805	-0.05989657565955544	0.04740265789343575	0.03152933957785225	-0.0010672192569520607	-0.13163836866818612	0.252417788412036	-0.017531759543474176	0.017531759543474176	M12	12	age_DMR	age_DMR	cluster_4904	chr21	31661731	31661998	268	2	0.033716782	18	False		
cluster_6651	-0.07784538965855077	-0.07383800124525662	-0.06292149007563819	0.07784538965855077	-1.0	0.17492164106270694	0.1552039818434537	-0.12282974734383766	0.05072885078987265	-0.001717092941712918	0.06273665778112676	-0.1202981210545943	0.005747947978545561	0.005747947978545561	M01	1	age_DMR	age_DMR	cluster_6651	chr6	168867541	168867685	145	3	0.028197967	19	True	1.6336397880000002	-0.17489198799999972
cluster_5923	0.0774541554875099	-0.21327507160262552	-0.16388542222453487	0.0774541554875099	1.0	0.15149176171046838	-0.032174724722466935	0.02546334998353544	0.06309381616499862	-0.002135627847187104	-0.13391680744743045	0.25678671582664675	-0.016519040557519564	0.016519040557519564	M09	9	age_DMR	age_DMR	cluster_5923	chr5	120191823	120192115	293	2	0.033485903	20	True	1.851899126	0.9555316669999999
cluster_242	0.07736259075217462	-0.012828975048512214	-0.19911937874194696	0.07736259075217462	1.0	0.20447123120166907	0.1204840596060148	-0.0953521064639546	-0.0807799363940376	0.0027342755937595853	-0.14410648023651096	0.2763255075640713	-0.00099248274644791	0.00099248274644791	M01	1	age_DMR	age_DMR	cluster_242	chr1	33231070	33231109	40	2	-0.017895363	21	True	1.5410953	-0.41079341999999985
cluster_6087	-0.07473464492067426	0.4452380336659061	0.04587307744520508	0.07473464492067426	-1.0	0.15544868384625346	0.1295933151226095	-0.10256124852528617	0.06287817902558923	-0.002128328864373857	0.05844827275027412	-0.1120751031282964	-0.0332747063512007	0.0332747063512007	M10	10	age_DMR	age_DMR	cluster_6087	chr6	2437142	2437147	6	2	0.055167825	22	False		
cluster_6495	0.07461082849874705	-0.2050325310592072	-0.03866951852519529	0.07461082849874705	1.0	0.15769411080267004	-0.056216107094174406	0.04448990386081906	0.06034927627591489	-0.0020427294274827875	-0.13440664692638676	0.2577259875542288	-0.01529764701152253	0.01529764701152253	M09	9	age_DMR	age_DMR	cluster_6495	chr6	130182053	130182551	499	6	0.010966867	23	True	1.302369181	-0.5061625949999999
cluster_7072	-0.07313538531657726	-0.487504142266471	-0.13571927753623275	0.07313538531657726	-1.0	0.15201340205897493	0.1458155691746288	-0.11539967794500873	-0.017753958449134133	0.0006009439651362773	0.039124048246686166	-0.07502072406448028	0.035653803288085865	0.035653803288085865	M01	1	age_DMR	age_DMR	cluster_7072	chr7	132435910	132436239	330	2	0.08261671799999999	24	True	2.3353778999999997	0.15849809599999976
cluster_2190	0.07108962890199759	-0.17727269337569376	-0.1782828621798618	0.07108962890199759	1.0	0.1591115694154581	-0.048102035388407134	0.03806835870642705	0.060574280877031865	-0.0020503454843501354	-0.1390447489464202	0.26661959103907035	-0.012602249986535677	0.012602249986535677	M12	12	age_DMR	age_DMR	cluster_2190	chr13	58299015	58299073	59	2	0.06732152200000001	25	True	2.287455994	0.45069666900000005
cluster_587	-0.06936499188912126	0.3273820336421468	0.07632167006155688	0.06936499188912126	-1.0	0.21591730906148926	-0.0044242250611157465	0.003501369230315549	0.1856130037053398	-0.0062827123735316286	0.11022034041158088	-0.21134852130264067	-0.022708852108231536	0.022708852108231536	M05	5	age_DMR	age_DMR	cluster_587	chr1	213122829	213123025	197	2	-0.017575416	26	True	2.204821917	-0.12274902399999998
cluster_125	-0.06392871898753896	-0.14792646439301052	0.01659384639372588	0.06392871898753896	-1.0	0.2033748686770908	0.2033260645404944	-0.16091397166031632	0.0032686018884233586	-0.00011063710579861441	-0.0030273634723345373	0.005804997434541632	0.009456749373000959	0.009456749373000959	M07	7	age_DMR	age_DMR	cluster_125	chr1	6529710	6530205	496	2	-0.020406298	27	True	1.262357688	-0.957680106
cluster_5002	-0.06206678272947911	-0.3262877823532926	-0.06924258592957322	0.06206678272947911	-1.0	0.17155436735981738	0.16960016341123685	-0.13422300751463914	-0.01970632076487086	0.0006670284022922454	0.016683718201316946	-0.031991183827879036	0.020251632894605374	0.020251632894605374	M01	1	age_DMR	age_DMR	cluster_5002	chr22	26829758	26830041	284	3	0.073881417	28	True	-0.344442992	-0.6410962659999999
cluster_643	0.06180020068831344	0.632262633850145	0.06075901526271671	0.06180020068831344	1.0	0.10119438536654217	-0.03887422003331139	0.030765387383531163	0.02501159117232286	-0.000846603579507434	-0.0900195476190728	0.17261331444431532	0.0390739576596606	0.0390739576596606	M13	13	age_DMR	age_DMR	cluster_643	chr1	236192895	236192973	79	3	0.045617076	29	True	2.204821917	-0.12274902399999998
cluster_832	0.06166929719687478	0.05023845503924307	-0.08650829630908441	0.06166929719687478	1.0	0.19243240189121785	0.1079577773366572	-0.0854387004544703	-0.049778428289716695	0.0016849226137584607	-0.15131905262443804	0.2901556817704329	0.003098170214526912	0.003098170214526912	M01	1	age_DMR	age_DMR	cluster_832	chr10	17347047	17347391	345	3	0.093944091	30	True	0.127892323	0.011164111000000004
cluster_5679	-0.06131858774405247	0.01191051782286745	-0.08284265650868827	0.06131858774405247	-1.0	0.11800609446662998	0.07377057515020928	-0.05838265874034972	0.06386242775863549	-0.0021616441578624496	0.06636965341214003	-0.12726442375014407	-0.0007303361321985986	0.0007303361321985986	M01	1	age_DMR	age_DMR	cluster_5679	chr4	186427685	186427765	81	3	0.024534686	31	True	1.968560645	-0.04771508300000016
cluster_1387	0.05917032505379138	-0.0011402334070978461	-0.1393359570690927	0.05917032505379138	1.0	0.1532397446635056	-0.019358272888135124	0.015320301319724103	0.07197043772561743	-0.002436087723385169	-0.13389523034413106	0.2567453415316727	-6.746798133517158e-05	6.746798133517158e-05	M12	12	age_DMR	age_DMR	cluster_1387	chr11	59824038	59824089	52	2	0.027980847000000003	32	True	1.1714501959999999	-0.8491103180000001
cluster_6114	-0.05900512375137872	-0.19884179631592366	-0.09709052952851173	0.05900512375137872	-1.0	0.1658284212962389	0.1652131247025047	-0.1307510678789362	-0.006585814086874411	0.00022291959521904132	0.012661587122104823	-0.02427871031434633	0.01173268479856752	0.01173268479856752	M01	1	age_DMR	age_DMR	cluster_6114	chr6	7248862	7248983	122	3	0.03469714	33	True	-0.664971657	-1.702186716
cluster_1764	-0.056940770422262976	0.35044523581868364	0.1024959406519046	0.056940770422262976	-1.0	0.1908085128506312	-0.018666123130581497	0.01477252813224131	0.1551307575884885	-0.005250935606665653	0.10951672234670404	-0.20999932716099465	-0.01995462171832748	0.01995462171832748	M15	15	age_DMR	age_DMR	cluster_1764	chr12	25801455	25801621	167	4	0.045710488	34	True	1.9626992090000002	0.6874580880000003
cluster_5661	0.051670412114539495	0.16847657816768324	-0.15903213372323846	0.051670412114539495	1.0	0.17810597470726544	0.12230138414746305	-0.09679035251677168	-0.016616394725908586	0.0005624391969523861	-0.12840562716778636	0.2462189767107488	0.00870525422557162	0.00870525422557162	M01	1	age_DMR	age_DMR	cluster_5661	chr4	177190237	177190421	185	5	0.055498035	35	True	1.968560645	-0.04771508300000016
cluster_6975	-0.04996564627518983	0.1711368283058644	0.11404835687932068	0.04996564627518983	-1.0	0.11410735593877945	0.0633382300725208	-0.0501264123807126	0.038175546350155236	-0.0012921830509310945	0.08689870511973624	-0.166629070111643	-0.008550962227788714	0.008550962227788714	M03	3	age_DMR	age_DMR	cluster_6975	chr7	94927713	94928249	537	2	0.037164296	36	True	2.3353778999999997	1.1965824529999995
cluster_3348	0.04738931923287908	0.8828949967479023	0.09146397761107204	0.04738931923287908	1.0	0.11834389969558964	-0.02970585457036962	0.02350946520941457	0.07834462569212809	-0.0026518441025663807	-0.08357607567099677	0.16025789743874574	0.04183979284999808	0.04183979284999808	M02	2	age_DMR	age_DMR	cluster_3348	chr17	38911538	38911540	3	2	0.023898612000000003	37	True	1.897721177	-0.160795279
cluster_5977	0.04621324834127211	0.8549572312818791	0.07701851364988803	0.04621324834127211	1.0	0.11054172751280887	-0.03729059798084583	0.02951209546226672	0.07153674049018857	-0.0024214077444343358	-0.07557366991079921	0.14491321044208152	0.039510350850395885	0.039510350850395885	M06	6	age_DMR	age_DMR	cluster_5977	chr5	147040667	147040773	107	3	0.060793808	38	True	1.851899126	0.910601616
cluster_4909	0.0455104341629634	-0.3182889463960755	-0.29171105360392424	0.0455104341629634	1.0	0.10970002466604273	-0.05857918429206429	0.04636006319386739	0.07856689869480292	-0.002659367699061938	-0.04929317405977547	0.09452011678556388	-0.014485468139757582	0.014485468139757582	M15	15	age_DMR	age_DMR	cluster_4909	chr21	32014696	32015231	536	2	0.023414564	39	False		
cluster_1718	0.04482086841341994	0.5260137442757669	0.027065378027102738	0.04482086841341994	1.0	0.13646187671634225	-0.04502851515971678	0.0356359487343234	0.10106015224978247	-0.003420729455025961	-0.07988192690908331	0.1531743330495692	0.023576392815834468	0.023576392815834468	M00	0	age_DMR	age_DMR	cluster_1718	chr12	7188165	7188426	262	3	0.013745268	40	True	1.368367221	0.31706850399999986
cluster_6532	0.043380022403272996	-0.15080890837579172	-0.07104843539460677	0.043380022403272996	1.0	0.09727384402367616	-0.008202911063005731	0.006491853375058639	0.002071086142987025	-7.010305462138344e-05	-0.0969052299074886	0.18581667386402145	-0.006542093823954991	0.006542093823954991	M09	9	age_DMR	age_DMR	cluster_6532	chr6	152702330	152702463	134	5	0.037280463	41	True	1.6336397880000002	-0.17489198799999972
cluster_2365	-0.04206595171579531	-0.2011247685869612	-0.12600361306886998	0.04206595171579531	-1.0	0.1886369642346716	0.17471354745653428	-0.13826978300902948	-0.06999948239631815	0.002369373941549471	-0.01261558857420659	0.02419050767367168	0.008460504804229614	0.008460504804229614	M07	7	age_DMR	age_DMR	cluster_2365	chr14	24630327	24630512	186	6	-0.041337281000000003	42	True	1.136797144	0.971484322
cluster_1758	0.04146978517954862	-0.07335387384340786	-0.4029424224528885	0.04146978517954862	1.0	0.12127494672967792	0.07737625832355588	-0.061236226979538365	0.029960896281045438	-0.001014129883301957	-0.08844700134074081	0.1695979424234672	-0.0030419693903738342	0.0030419693903738342	M01	1	age_DMR	age_DMR	cluster_1758	chr12	20848285	20848473	189	2	0.027213681	43	True	1.9626992090000002	0.6874580880000003
cluster_6604	0.04068701600287178	0.018876363642905125	-0.1183320005985421	0.04068701600287178	1.0	0.14614571199891954	0.05835158345766864	-0.04617993796349629	-0.0370238648427688	0.0012532004176436606	-0.12877459095550745	0.2469264681833561	0.000768022909614908	0.000768022909614908	M03	3	age_DMR	age_DMR	cluster_6604	chr6	167173257	167173343	87	2	0.013598211	44	True	1.6336397880000002	-0.17489198799999972
cluster_3519	-0.039615500939224814	-0.10638923526560973	-0.07470655624030126	0.039615500939224814	-1.0	0.11934102002937245	0.1166328091540949	-0.09230419419811917	-0.02284936310919848	0.000773415512209334	0.01081542860822241	-0.02073868430333673	0.004214662849588171	0.004214662849588171	M01	1	age_DMR	age_DMR	cluster_3519	chr17	76481380	76481729	350	2	0.033654647	45	True	1.897721177	-0.1888784400000001
cluster_916	0.03477969827616953	0.9090601814082284	0.09093981859177147	0.03477969827616953	1.0	0.07538368205973557	-0.04045167791893381	0.03201380093088448	-0.005804146742080647	0.0001964613676106052	-0.0633456640585805	0.12146589621953427	0.03161683882425813	0.03161683882425813	M02	2	age_DMR	age_DMR	cluster_916	chr10	74870240	74870311	72	2	-0.025276367	46	True	0.127892323	-0.11011721899999999
cluster_3684	0.03303168106417983	-0.0536562606326222	-0.028565961589600026	0.03303168106417983	1.0	0.13854913888532144	-0.01028547903543766	0.008140015328391743	0.09053232155687382	-0.003064378709979102	-0.10437419010655108	0.20013847406755514	-0.0017723564883132844	0.0017723564883132844	M02	2	age_DMR	age_DMR	cluster_3684	chr18	61817088	61817320	233	3	0.042859403	47	True	0.626428667	-1.0828933060000003
cluster_1556	-0.03260139379560621	-0.03488354502458838	0.001550211691255049	0.03260139379560621	-1.0	0.12492989541348315	-0.015185244866074437	0.012017731556240372	0.057814686071642925	-0.0019569374790722603	0.1097011813100414	-0.21035302892780813	0.0011372521883333655	0.0011372521883333655	M00	0	age_DMR	age_DMR	cluster_1556	chr11	108408950	108408962	13	2	0.027292831	48	True	1.7926254430000002	-0.549831993
cluster_6143	0.03248292470823936	-0.3783579650199369	-0.425345738683767	0.03248292470823936	1.0	0.11568316101369035	-0.05482961860792485	0.043392625115529215	0.09906102563100927	-0.0033530621187225105	-0.023732253714332248	0.04550681581070688	-0.012290173290505272	0.012290173290505272	M08	8	age_DMR	age_DMR	cluster_6143	chr6	25650786	25651144	359	2	0.008409488	49	True	-0.664971657	-1.702186716
cluster_5240	0.030657010714861713	-0.057839199101874864	-0.0066052453425695795	0.030657010714861713	1.0	0.12711162978081536	-0.01452722047222566	0.011496965470972974	0.0936706901914136	-0.0031706076220666844	-0.08468841768477332	0.1623908235294891	-0.0017731769466051977	0.0017731769466051977	M06	6	age_DMR	age_DMR	cluster_5240	chr3	99904510	99904609	100	3	0.021563528999999998	50	True	2.0854897340000003	0.028543028000000525
cluster_4364	0.028761783519538973	-0.17050264874867835	-0.055805378424894934	0.028761783519538973	1.0	0.12587756867995642	-0.02242662607506008	0.017748622051158663	0.11324067857213213	-0.003833021384545295	-0.050187224033509184	0.09623446587225418	-0.004903960272817479	0.004903960272817479	M04	4	age_DMR	age_DMR	cluster_4364	chr2	44502740	44502977	238	2	0.050410937	51	True	0.278580475	-0.09001913
cluster_950	-0.028665678768162717	-0.5422194754125403	-0.12457064804424955	0.028665678768162717	-1.0	0.08244253527541014	0.0774901282486253	-0.061326344603842925	0.02050081546639249	-0.000693920816036486	0.0192812917581206	-0.03697205512763426	0.015543089304017585	0.015543089304017585	M03	3	age_DMR	age_DMR	cluster_950	chr10	95123718	95123774	57	3	0.033547863	52	True	0.127892323	-0.11011721899999999
cluster_1523	0.028657784752583106	0.3269253331601478	0.052678189309435235	0.028657784752583106	1.0	0.16182025308387424	-0.018348501159346945	0.014521159410806428	0.14577175945071733	-0.004934148031279075	-0.06782124268971157	0.13004785960425144	0.009368955827870036	0.009368955827870036	M06	6	age_DMR	age_DMR	cluster_1523	chr11	74978433	74978559	127	2	0.06626217400000001	53	True	1.7926254430000002	-0.2825502999999998
cluster_4907	0.028191874667370782	-0.1481369219125609	-0.051786035079361636	0.028191874667370782	1.0	0.1211259443754218	-0.09323341107755903	0.07378571213599154	0.07721325353265511	-0.0026135489092151964	-0.004139920117899876	0.007938335083723437	-0.004176257536169009	0.004176257536169009	M08	8	age_DMR	age_DMR	cluster_4907	chr21	31802169	31802829	661	2	0.025709315	54	False		
cluster_3660	-0.02673350276848525	-0.13847841401744884	-0.019907829368794542	0.02673350276848525	-1.0	0.14264000838694707	-0.034864384943898395	0.02759196989080317	0.1239317918827096	-0.0041948989930226865	0.06141300852305444	-0.11776001137019045	0.003702013064510915	0.003702013064510915	M04	4	age_DMR	age_DMR	cluster_3660	chr18	28742633	28743074	442	2	0.042266849	55	True	0.626428667	-1.0828933060000003
cluster_5064	-0.026514052553844446	-0.08798507302188784	0.007025181430767025	0.026514052553844446	-1.0	0.1541279832491774	0.1533915061790784	-0.12139533873345405	0.00585403738954809	-0.00019815008866952844	-0.01386402895316624	0.02658440363735995	0.0023328408500561753	0.0023328408500561753	M07	7	age_DMR	age_DMR	cluster_5064	chr22	46370644	46371152	509	2	-0.024982701	56	True	1.017316803	-0.4415011579999999
cluster_4532	0.02555737957017126	0.8219627057393586	0.12261641883976605	0.02555737957017126	1.0	0.08599414655755727	-0.06583229492571085	0.05210023645492658	0.05204549302393347	-0.0017616592398187348	-0.01877149016121409	0.035994505854409595	0.02100721286310577	0.02100721286310577	M13	13	age_DMR	age_DMR	cluster_4532	chr2	159651559	159651918	360	3	0.015502877	57	True	1.962360609	-0.06632165599999995
cluster_3762	0.02547921617054224	0.5439085813126973	0.05384274143862541	0.02547921617054224	1.0	0.13744117244296628	0.10483679850531608	-0.08296873134178502	-0.027795305878547203	0.0009408280060295213	-0.0844200363229663	0.16187619978806994	0.013858364320279166	0.013858364320279166	M07	7	age_DMR	age_DMR	cluster_3762	chr19	863226	863244	19	2	-0.027459185	58	True	1.784644317	0.8634745779999998
cluster_6518	0.024956902722702987	0.3466789280921529	0.021811462955709487	0.024956902722702987	1.0	0.09094682986480344	-0.06502355533591346	0.05146019308553694	0.05794147171664495	-0.001961228976568335	-0.026192536517949862	0.0502244308225025	0.008652032284406804	0.008652032284406804	M04	4	age_DMR	age_DMR	cluster_6518	chr6	143929300	143929511	212	3	0.059909335	59	True	1.302369181	-0.5061625949999999
cluster_1715	-0.024207698715579238	-0.055338216775340315	0.02886821977342842	0.024207698715579238	-1.0	0.10951522807510262	0.01116763324290467	-0.008838159648753112	0.06517737880558543	-0.00220615321190683	0.0872970700546527	-0.1673929385556981	0.001339610879154851	0.001339610879154851	M06	6	age_DMR	age_DMR	cluster_1715	chr12	7032991	7033911	921	8	-0.061309439	60	True	1.368367221	0.31706850399999986
cluster_7425	0.02389330799416733	0.13436352642485072	-0.23645448431291016	0.02389330799416733	1.0	0.1470755285164193	0.12065497254443475	-0.09548736841274334	-0.0023639442562007488	8.001584766307082e-05	-0.08407140094133872	0.1612076882220049	0.0032103891200513995	0.0032103891200513995	M01	1	age_DMR	age_DMR	cluster_7425	chr8	19460935	19461068	134	2	0.051781861	61	True	0.33573697	0.7948546949999999
cluster_1333	-0.02385699435247903	-0.09628726378701864	0.03473239095852318	0.02385699435247903	-1.0	0.1668533477934485	0.013083846326030242	-0.01035466693201775	0.15887668207261196	-0.005377729342217061	0.04926512487344868	-0.09446633221157537	0.002297124708382562	0.002297124708382562	M04	4	age_DMR	age_DMR	cluster_1333	chr11	44328423	44329915	1493	3	-0.04283180599999999	62	True	1.1714501959999999	0.16861134099999986
cluster_5928	0.02366686550510441	-0.1478406828267043	-0.0764613114752899	0.02366686550510441	1.0	0.0807177455918894	-0.04763590488953172	0.03769945907688098	0.057713677633771984	-0.001953518500068773	-0.030254031678067582	0.058012385324941323	-0.00349892555664241	0.00349892555664241	M04	4	age_DMR	age_DMR	cluster_5928	chr5	126984765	126984994	230	2	0.052801687	63	True	1.851899126	0.9555316669999999
cluster_1688	0.02325758337558164	-0.040308438791640686	-0.004136005652803754	0.02325758337558164	1.0	0.16856570293664674	-0.0012289567801716163	0.0009726068172479869	0.1463949535882795	-0.0049552421865430565	-0.08355479301418797	0.16021708774763851	-0.0009374768759361123	0.0009374768759361123	M02	2	age_DMR	age_DMR	cluster_1688	chr12	1738035	1738060	26	2	-0.051417718	64	False		
cluster_5215	0.02257791147741315	0.8148807074730644	0.10552018792783104	0.02257791147741315	1.0	0.045535482985006065	-0.04038804756939992	0.0319634433326849	0.0008418775309371446	-2.8496249050598662e-05	-0.021013735185172785	0.04029403140878796	0.018398304477978647	0.018398304477978647	M13	13	age_DMR	age_DMR	cluster_5215	chr3	63428234	63428840	607	3	0.019791166000000002	65	True	2.0854897340000003	-0.13541778799999982
cluster_1806	0.022568391044334942	0.38848233320117936	0.009879490160644004	0.022568391044334942	1.0	0.06782811610177117	-0.021770585006334692	0.017229425586212297	0.0480586908509269	-0.0016267121679910805	-0.04262695386832537	0.08173757796487313	0.008767421209499839	0.008767421209499839	M06	6	age_DMR	age_DMR	cluster_1806	chr12	49371182	49371310	129	2	-0.025223915	66	True	1.9626992090000002	0.6874580880000003
cluster_840	0.022510081405926686	-0.07001911651094249	0.025574672066498043	0.022510081405926686	1.0	0.09113436068668594	-0.0128824824677915	0.010195305867063936	0.07354396769451288	-0.0024893492729983428	-0.0522570393247308	0.10020335582065902	-0.0015761360126323807	0.0015761360126323807	M13	13	age_DMR	age_DMR	cluster_840	chr10	23287263	23287284	22	2	0.08106502	67	True	0.127892323	0.011164111000000004
